track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
1N06xKid6sYj3vRPbVQX1m,Glassworks: I. Opening,Philip Glass: Glassworks - Live at (le) Poisson Rouge,Signal,2011-02,390853,42,0.24,0.951,0.0428,0.865,0.0979,-26.479,0.0371,137.785,3
64ZxBE1ZgK4C0lGljXzDcG,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",Vivaldi: The Four Seasons,Antonio Vivaldi,2008,204146,55,0.48,0.81,0.163,0.754,0.093,-19.117,0.0645,158.366,4
2u9VGZmVz7Rm01SfDgzcfA,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",Liszt - My Piano Hero,Franz Liszt,2011-08-22,293146,58,0.279,0.987,0.0292,0.902,0.104,-26.804,0.0406,136.732,3
26KykHLogeIep4OrurliDS,"Suite bergamasque, L. 75: III. Clair de lune","Debussy: Suite bergamasque, L. 75: III. Clair de lune",Claude Debussy,2021-12-31,263826,49,0.349,0.994,0.0168,0.932,0.0768,-26.609,0.0401,71.696,4
3eLlW0GegkXy3o92t51xaJ,"Schubert: Ave Maria, Op. 52 No. 6, D. 839","Schubert: Ave Maria, Die Forelle, Heidenröslein & Other Lieder",Franz Schubert,1994-01-01,379053,45,0.206,0.99,0.058,0.000573,0.09,-20.467,0.0441,176.377,3
0Gh45IbIKOG9IucFfrZqLT,"Cello Concerto No. 1 in C Major, Hob.VIIb:1: III. Allegro molto",Haydn: Cello Concertos in C & D,Franz Joseph Haydn,1998-01-06,424306,40,0.375,0.984,0.121,0.871,0.0984,-23.44,0.0406,147.398,4
6cUCckpdlqHJ5Ascf2uH2A,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Beethoven: Symphonies Nos.5 & 7,Ludwig van Beethoven,1995-01-01,442000,60,0.248,0.957,0.298,0.9,0.0943,-15.661,0.0395,97.853,4
51xHvAUYQfhY29GcGlBM0n,"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": I. Allegro",Piano Book (Deluxe Edition),Lang Lang,2019-03-29,294466,56,0.315,0.982,0.211,0.924,0.147,-22.835,0.0384,120.39,4
1bTXAKwE2Hztv13xTAhMQB,Solomon HWV 67 / Act 3: The Arrival Of The Queen Of Sheba,The Essential Handel,George Frideric Handel,1995-01-01,191493,44,0.625,0.878,0.351,0.938,0.0569,-15.884,0.0423,116.961,4
0BWJNm4TrO6H3qgiCmDBjM,Toccata and Fugue in D minor,Great Organ Classics,William McVicker,1997,567466,50,0.0692,0.87,0.0463,0.308,0.0937,-25.35,0.0373,71.749,4
30CNRidKfNGwImhmvHpUS0,"Rigoletto / Act 3: ""La donna è mobile""",Pavarotti (Music from the Motion Picture),Luciano Pavarotti,2019-06-07,143573,0,0.36,0.961,0.196,6.05e-06,0.0911,-13.706,0.037,118.233,5
